timestamp_ist,composite,regime,vol_raw,vol_conf,edge_raw,edge_conf,trend_raw,trend_conf,flow_raw,flow_conf,spot,vix,override
2026-08-31T09:14:00+05:30,+0.000,NEUTRAL,1.0,0,1,0,1,0,,0,24212.443171582418,11.2,0
2026-08-31T09:19:00+05:30,+0.000,NEUTRAL,1.0,0,1,0,1,0,,0,24234.5790125115,11.2,0
2026-08-31T09:24:00+05:30,+0.000,NEUTRAL,0.5,0,0,0,0,0,0,0,24249.564802640147,12.0,0
2026-08-31T09:29:00+05:30,+0.000,NEUTRAL,0.5,0,0,0,0,0,0,0,24212.27741609892,12.0,0
2026-08-31T09:34:00+05:30,+0.150,MILD_SELL_VOL,0.5,0.5,0,0,0,0,0,0,24204.276525346275,12.0,0
2026-08-31T09:39:00+05:30,+0.150,MILD_SELL_VOL,-0.5,0.5,-1,0,-1,0,1,0,24185.822974951538,17.5,0
2026-08-31T09:44:00+05:30,+0.150,MILD_SELL_VOL,-0.5,0.5,-1,0,-1,0,1,0,24160.825859565124,17.5,0
2026-08-31T09:49:00+05:30,-0.550,STRONG_BUY_VOL,-0.5,-0.5,-1,-1,-1,-1,1,1,24119.249771060666,17.5,0
2026-08-31T09:54:00+05:30,-0.550,STRONG_BUY_VOL,1.0,-0.5,0,-1,0,-1,-1,1,24131.280076916348,13.2,0
2026-08-31T09:59:00+05:30,-0.550,STRONG_BUY_VOL,1.0,-0.5,0,-1,0,-1,-1,1,24137.52590249862,13.2,0
2026-08-31T10:04:00+05:30,+0.150,MILD_SELL_VOL,1.0,1.0,0,0,0,0,-1,-1,24139.654607356068,13.2,0
2026-08-31T10:09:00+05:30,+0.150,MILD_SELL_VOL,1.0,1.0,0,0,1,0,0,-1,24178.604861961252,13.0,0
2026-08-31T10:14:00+05:30,+0.150,MILD_SELL_VOL,1.0,1.0,0,0,1,0,0,-1,24221.146390865062,13.0,0
2026-08-31T10:19:00+05:30,+0.400,MILD_SELL_VOL,1.0,1.0,0,0,1,1,1,-1,24251.65882399958,13.0,0
2026-08-31T10:24:00+05:30,+0.400,MILD_SELL_VOL,1.0,1.0,1,0,1,1,1,-1,24267.95032714285,11.2,0
2026-08-31T10:29:00+05:30,+0.700,STRONG_SELL_VOL,1.0,1.0,1,0,1,1,1,1,24300.295700595132,11.2,0
2026-08-31T10:34:00+05:30,+1.000,STRONG_SELL_VOL,1.0,1.0,1,1,1,1,1,1,24333.030105459784,11.2,0
2026-08-31T10:39:00+05:30,+1.000,STRONG_SELL_VOL,0.5,1.0,0,1,0,1,0,1,24318.22898662277,12.0,0
2026-08-31T10:44:00+05:30,+1.000,STRONG_SELL_VOL,0.5,1.0,0,1,0,1,0,1,24298.900994716558,12.0,0
2026-08-31T10:49:00+05:30,+0.150,MILD_SELL_VOL,0.5,0.5,0,0,0,0,0,0,24281.821856466744,12.0,0
2026-08-31T10:54:00+05:30,+0.150,MILD_SELL_VOL,-0.5,0.5,-1,0,-1,0,1,0,24232.364632661738,17.5,0
2026-08-31T10:59:00+05:30,+0.150,MILD_SELL_VOL,-0.5,0.5,-1,0,-1,0,1,0,24205.61837457571,17.5,0
2026-08-31T11:04:00+05:30,-0.550,STRONG_BUY_VOL,-0.5,-0.5,-1,-1,-1,-1,1,1,24170.559022311307,17.5,0
2026-08-31T11:09:00+05:30,-0.550,STRONG_BUY_VOL,1.0,-0.5,0,-1,0,-1,0,1,24170.804421083212,13.2,0
2026-08-31T11:14:00+05:30,-0.550,STRONG_BUY_VOL,1.0,-0.5,0,-1,0,-1,0,1,24184.189547464794,13.2,0
2026-08-31T11:19:00+05:30,+0.300,MILD_SELL_VOL,1.0,1.0,0,0,0,0,0,0,24162.230123881007,13.2,0
2026-08-31T11:24:00+05:30,+0.300,MILD_SELL_VOL,1.0,1.0,0,0,1,0,1,0,24208.72702396806,13.0,0
2026-08-31T11:29:00+05:30,+0.300,MILD_SELL_VOL,1.0,1.0,0,0,1,0,0,0,24249.629831769475,13.0,0
2026-08-31T11:34:00+05:30,+0.300,MILD_SELL_VOL,1.0,1.0,0,0,-1,0,1,0,24269.76201430605,13.0,0
2026-08-31T11:39:00+05:30,+0.300,MILD_SELL_VOL,1.0,1.0,1,0,1,0,1,0,24322.75442500595,11.2,0
2026-08-31T11:44:00+05:30,+0.450,MILD_SELL_VOL,1.0,1.0,1,0,1,0,1,1,24364.43602086948,11.2,0
2026-08-31T11:49:00+05:30,+1.000,STRONG_SELL_VOL,1.0,1.0,1,1,1,1,1,1,24394.90824284468,11.2,0
